"BehaviorSpace results (NetLogo 6.0.3)"
"Project_structure.nlogo"
"Main experiment - just final result"
"11/14/2018 18:11:17:764 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","technology-increase","[step]","municipality-stats 0","municipality-stats 1","municipality-stats 2","municipality-stats 3","municipality-stats 4","municipality-stats 5","municipality-stats 6","municipality-stats 7","municipality-stats 8","municipality-stats 9"
"12","0.5","240","27095,-0.03,0.5,1,1,12,false,true,156","24378,0,1,0.5,0.25,12,true,false,228","39440,-0.03,0.5,1,0.5,3,true,true,156","24571,-0.07,0.5,1,0.75,6,true,false,228","42871,-0.08,0.75,0.75,1,3,true,false,240","30578,0,1,0.5,0.5,18,true,false,144","29227,-0.06,0.5,1,0.75,3,true,false,228","24232,-0.05,0.75,0.75,0.75,9,true,false,204","39596,-0.02,0.5,1,1,12,false,false,144","19246,-0.01,0.5,1,0.75,3,true,true,240"
"13","0.5","240","30134,-0.11,0.75,0.75,1,3,false,false,240","50789,-0.03,0.5,1,0.25,15,false,true,156","32772,-0.12,1,0.5,0.75,12,false,true,240","26985,-0.11,0.75,0.75,1,9,false,false,240","17414,-0.09,1,0.5,1,3,false,false,240","46974,-0.09,1,0.5,0.75,18,true,false,240","55577,-0.15,0.5,1,1,12,true,false,240","44474,-0.04,0.5,1,0.25,12,false,true,168","55774,-0.08,1,0.5,0.5,12,false,false,228","40306,-0.14,0.5,1,1,12,false,false,228"
"15","0.5","240","57236,-0.04,1,0.5,0.5,12,false,false,216","50682,-0.07,0.5,1,0.25,18,true,false,240","34473,-0.04,1,0.5,0.75,18,true,false,228","52547,-0.02,0.75,0.75,0.25,15,true,true,240","19358,-0.06,1,0.5,0.75,18,false,false,192","30673,-0.07,1,0.5,0.5,18,false,false,228","52020,-0.09,0.75,0.75,1,6,true,true,240","59651,-0.01,1,0.5,0.75,15,true,true,144","64715,-0.06,0.75,0.75,0.5,15,true,false,216","37578,-0.08,0.75,0.75,0.5,12,true,true,156"
"14","0.5","240","28076,-0.15,0.5,1,0.5,6,true,true,228","55309,-0.06,0.75,0.75,0.25,9,true,true,240","27056,-0.03,0.5,1,0.25,9,true,true,156","58404,-0.04,1,0.5,0.25,12,false,true,180","49504,-0.14,0.75,0.75,0.75,18,false,true,240","47778,-0.18,0.5,1,0.5,15,true,false,240","52077,-0.13,1,0.5,0.5,15,false,true,228","45709,-0.13,1,0.5,0.25,15,true,true,240","17784,-0.12,1,0.5,0.25,3,true,false,240","26305,-0.11,1,0.5,0.5,3,true,false,240"
"17","0.5","240","43409,-0.05,1,0.5,1,6,false,false,216","18466,0,1,0.5,0.5,3,true,true,192","39811,-0.03,1,0.5,0.5,6,false,true,156","47591,-0.01,1,0.5,0.75,15,true,true,144","21809,-0.08,0.5,1,0.5,12,true,true,228","25823,-0.05,0.75,0.75,0.75,15,true,false,204","27498,-0.07,0.75,0.75,0.75,15,false,true,228","19861,0,0.75,0.75,0.5,3,true,false,225","42954,-0.01,0.75,0.75,0.75,12,true,true,156","45865,-0.05,0.5,1,0.75,15,false,true,204"
"19","0.5","240","49618,-0.09,1,0.5,0.25,12,false,false,240","36128,-0.08,0.75,0.75,0.25,18,true,true,240","54396,-0.09,0.5,1,0.5,18,false,false,229","20326,-0.07,1,0.5,0.5,3,true,true,230","40684,-0.17,0.75,0.75,0.5,6,true,false,240","19903,-0.11,1,0.5,1,3,false,false,216","34516,-0.14,0.5,1,0.75,15,false,false,240","50189,-0.09,0.5,1,0.5,9,true,true,240","14837,-0.09,0.5,1,0.5,18,false,true,240","44053,-0.13,0.5,1,1,9,true,true,240"
"20","0.5","240","41122,-0.15,1,0.5,0.75,18,true,true,240","20090,-0.07,1,0.5,0.75,9,false,true,236","36090,-0.12,0.5,1,0.75,12,true,false,240","21963,-0.11,1,0.5,0.75,12,true,true,240","18590,-0.08,0.75,0.75,0.75,6,false,true,240","52075,-0.09,1,0.5,0.75,9,true,true,240","46475,-0.17,0.75,0.75,1,15,true,true,240","28801,-0.1,0.5,1,0.25,6,false,false,240","38687,-0.17,1,0.5,1,12,true,false,240","28147,-0.09,1,0.5,0.25,12,false,false,240"
"18","0.5","240","22298,-0.07,1,0.5,0.25,12,true,false,240","41788,-0.16,0.5,1,1,12,true,true,240","41350,-0.14,0.5,1,1,18,false,false,240","34524,-0.07,0.5,1,0.75,12,true,true,240","41709,-0.07,0.75,0.75,0.5,3,true,true,228","46192,-0.13,1,0.5,1,9,false,false,240","51407,-0.1,0.75,0.75,0.25,6,false,true,240","14321,-0.2,0.5,1,0.25,3,true,false,228","27328,-0.1,0.5,1,0.75,3,false,true,240","13603,-0.1,1,0.5,0.25,6,false,true,240"
"25","0.5","240","16319,-0.02,0.75,0.75,0.25,12,false,false,228","30688,-0.12,0.5,1,0.75,15,true,false,240","37080,-0.11,1,0.5,0.75,3,true,true,144","46808,-0.14,0.75,0.75,0.25,18,true,true,240","44719,-0.02,1,0.5,0.25,6,false,false,204","59319,-0.14,0.5,1,0.75,9,false,false,240","20373,-0.04,1,0.5,0.25,12,false,true,168","33602,-0.12,1,0.5,0.5,12,true,true,240","51224,-0.12,1,0.5,1,6,true,false,240","27808,-0.03,0.5,1,0.5,6,false,false,228"
"21","0.5","240","57972,-0.09,0.5,1,0.75,9,false,false,240","31668,-0.03,0.5,1,0.25,6,false,false,192","32913,-0.17,0.5,1,0.75,6,true,false,240","38188,-0.09,0.5,1,0.5,6,true,true,240","52996,-0.02,0.75,0.75,0.25,15,true,true,168","60181,-0.14,0.5,1,0.75,6,true,true,192","38756,-0.07,1,0.5,0.5,9,false,false,228","47295,-0.03,0.75,0.75,0.25,9,true,true,204","45874,-0.14,0.5,1,0.5,18,true,true,240","28451,-0.12,1,0.5,0.75,18,false,false,240"
