"technology.increase","kpi_expenditure","kpi_final_gap","kpi_failure_count","behavior_importance_tendency","behavior_knowledge_tendency","behavior_target_tendency","behavior_price_tendency","behavior_sq_investment","behavior_centralized"
"0.5",43692,-0.07,240,"0.5","1","0.75","3",TRUE,TRUE
"0.5",22512,-0.15,240,"1","0.5","0.75","3",FALSE,FALSE
"0.5",35129,-0.02,169,"0.75","0.75","0.5","15",FALSE,FALSE
"0.5",47388,-0.04,228,"0.75","0.75","0.75","12",TRUE,FALSE
"0.5",47203,-0.1,240,"0.75","0.75","0.75","9",TRUE,FALSE
"0.5",23254,-0.09,240,"1","0.5","1","9",FALSE,FALSE
"0.5",27756,-0.18,240,"0.5","1","1","6",TRUE,TRUE
"0.5",24385,0.01,204,"1","0.5","0.5","15",TRUE,FALSE
"0.5",55774,-0.11,240,"0.5","1","1","12",TRUE,FALSE
"0.5",41160,-0.14,192,"1","0.5","0.5","6",FALSE,FALSE
"0.5",25578,-0.18,240,"0.5","1","0.75","12",TRUE,FALSE
"0.5",25151,-0.06,144,"0.75","0.75","0.75","15",TRUE,FALSE
"0.5",32117,-0.18,240,"0.5","1","0.75","18",TRUE,TRUE
"0.5",46009,-0.12,240,"0.75","0.75","1","18",FALSE,TRUE
"0.5",26950,-0.09,240,"0.5","1","0.5","18",FALSE,TRUE
"0.5",54483,-0.08,240,"1","0.5","1","12",TRUE,TRUE
"0.5",28050,-0.16,240,"0.75","0.75","0.5","18",TRUE,FALSE
"0.5",27029,-0.26,240,"1","0.5","0.25","18",TRUE,TRUE
"1",26890,-0.06,240,"1","0.5","0.75","15",FALSE,FALSE
"0.5",26116,-0.06,228,"0.75","0.75","0.5","3",TRUE,FALSE
"1",17302,-0.02,240,"1","0.5","1","15",FALSE,FALSE
"1",59599,0.04,132,"0.75","0.75","0.5","15",TRUE,FALSE
"1",40953,0.03,36,"0.75","0.75","0.5","12",FALSE,TRUE
"1",61081,0.05,132,"1","0.5","0.5","18",FALSE,FALSE
"1",15761,0.04,60,"0.5","1","1","6",FALSE,TRUE
"1",36352,0.05,48,"0.75","0.75","0.5","6",TRUE,TRUE
"1",37383,0.04,61,"0.75","0.75","0.25","18",FALSE,TRUE
"1",23940,-0.03,228,"0.75","0.75","0.25","3",TRUE,TRUE
"1",22522,-0.05,228,"0.75","0.75","1","3",TRUE,FALSE
"1",30833,0.03,84,"0.5","1","0.25","12",FALSE,FALSE
"1",37644,-0.08,240,"0.5","1","0.25","6",TRUE,FALSE
"1",27363,-0.05,240,"0.75","0.75","1","12",TRUE,TRUE
"1",45216,0.03,120,"0.75","0.75","0.25","18",FALSE,TRUE
"1",25172,0.05,36,"0.5","1","0.5","15",TRUE,TRUE
"1",27496,-0.04,72,"0.75","0.75","0.25","6",TRUE,TRUE
"1",50498,-0.04,168,"0.75","0.75","0.25","9",FALSE,FALSE
"1",26393,0.06,144,"1","0.5","1","15",FALSE,TRUE
"1",14912,0.05,96,"0.5","1","0.5","6",FALSE,FALSE
"1",47417,-0.12,240,"0.5","1","1","9",TRUE,FALSE
"1",38934,0.05,132,"1","0.5","0.75","9",FALSE,FALSE
"1",24442,0.06,132,"1","0.5","0.75","3",FALSE,FALSE
"1",18465,0.07,192,"0.75","0.75","0.75","18",TRUE,FALSE
"1",33257,0.03,42,"0.75","0.75","1","18",FALSE,TRUE
"1",58567,0.05,60,"1","0.5","0.5","15",TRUE,FALSE
"1",33935,0.06,132,"0.75","0.75","1","15",FALSE,TRUE
"1",55785,0.03,168,"0.5","1","0.25","9",FALSE,FALSE
"1",30204,0.03,70,"0.5","1","0.75","9",FALSE,TRUE
"1",36600,0.04,156,"0.5","1","0.25","9",TRUE,TRUE
"1",48476,0.07,204,"0.5","1","1","18",TRUE,TRUE
"1",58879,0.06,132,"0.75","0.75","1","18",FALSE,TRUE
"1",25297,0.04,204,"0.5","1","0.25","12",FALSE,FALSE
"1",23127,0.03,210,"0.75","0.75","0.25","3",FALSE,TRUE
"1",24957,-0.09,240,"1","0.5","1","15",TRUE,TRUE
"1",32497,-0.08,240,"1","0.5","0.25","12",TRUE,TRUE
"1",22235,-0.03,216,"0.5","1","0.75","18",TRUE,TRUE
"1",43406,-0.03,240,"0.75","0.75","0.25","9",TRUE,TRUE
"1",44481,0.03,168,"0.5","1","0.75","3",FALSE,TRUE
"1",47463,0.05,144,"0.75","0.75","0.5","15",TRUE,FALSE
"1",50877,-0.04,240,"0.75","0.75","1","3",TRUE,TRUE
"1",17946,0.04,36,"0.75","0.75","0.75","9",FALSE,TRUE
"1",23767,0.05,156,"0.75","0.75","0.5","15",FALSE,FALSE
"1",44751,0.01,216,"1","0.5","0.25","12",FALSE,FALSE
"1",24754,-0.06,240,"0.75","0.75","0.75","3",TRUE,FALSE
"1",47096,0.06,216,"0.75","0.75","0.25","6",TRUE,TRUE
"1",44121,-0.02,216,"1","0.5","0.25","3",TRUE,FALSE
"1",43556,0.01,204,"0.5","1","1","15",FALSE,FALSE
"1",18970,0,216,"1","0.5","1","18",FALSE,FALSE
"1",40565,0.04,155,"1","0.5","0.5","18",FALSE,TRUE
"1",20838,-0.01,240,"0.5","1","1","18",FALSE,TRUE
"1",18121,-0.06,240,"0.75","0.75","0.5","6",TRUE,FALSE
"1",52529,0.05,204,"1","0.5","0.25","6",TRUE,FALSE
"1",28883,0.04,61,"0.75","0.75","0.75","18",FALSE,TRUE
"1",33284,-0.02,204,"1","0.5","0.25","18",FALSE,TRUE
"1",41368,0.04,36,"1","0.5","0.5","12",FALSE,TRUE
"1",34460,0.05,96,"1","0.5","0.5","9",FALSE,FALSE
"1",11866,-0.04,156,"1","0.5","0.25","3",FALSE,TRUE
"1",19403,0.05,216,"0.5","1","0.25","6",TRUE,FALSE
"1",43765,0.03,49,"0.5","1","1","15",FALSE,TRUE
"1",24688,0.06,85,"1","0.5","0.75","18",FALSE,TRUE
"1",43801,0.03,156,"0.5","1","0.5","15",TRUE,TRUE
"1",37673,0.04,42,"0.75","0.75","0.5","15",FALSE,TRUE
"1",11982,0.03,168,"1","0.5","0.25","6",FALSE,TRUE
"1",19232,0.04,156,"0.5","1","0.5","12",TRUE,TRUE
"1",55544,0.05,72,"0.5","1","0.5","12",TRUE,TRUE
"1",32764,-0.04,240,"1","0.5","1","18",FALSE,TRUE
"1",31960,0.05,132,"0.5","1","0.5","18",FALSE,FALSE
"1",47854,0.06,84,"0.5","1","0.5","3",TRUE,FALSE
"1",23138,0.03,216,"1","0.5","0.75","12",TRUE,FALSE
"1",56020,-0.02,204,"0.5","1","0.25","15",TRUE,TRUE
"1",31177,0.06,192,"0.75","0.75","0.75","18",TRUE,FALSE
"1",19024,0.06,216,"0.5","1","0.5","6",TRUE,TRUE
"1",60717,0.05,36,"0.75","0.75","1","6",TRUE,TRUE
"1",53484,-0.01,240,"0.75","0.75","0.75","9",FALSE,FALSE
"1",22341,-0.03,240,"0.75","0.75","0.5","3",FALSE,FALSE
"1",24838,-0.04,240,"0.5","1","0.25","6",FALSE,TRUE
"1",49448,-0.02,180,"1","0.5","0.25","12",TRUE,TRUE
"1",52564,0.05,204,"0.5","1","1","9",FALSE,TRUE
"1",56574,0.04,84,"0.75","0.75","0.25","9",FALSE,TRUE
"1",47695,0,219,"1","0.5","0.75","6",TRUE,TRUE
"1",53482,0.03,121,"0.5","1","0.75","9",FALSE,TRUE
"1",39948,-0.14,240,"0.5","1","0.25","15",TRUE,TRUE
"1",20847,0.06,168,"0.5","1","1","18",FALSE,FALSE
"1",26564,0.06,36,"0.75","0.75","0.75","3",TRUE,FALSE
"1",20973,-0.02,216,"0.75","0.75","0.25","9",TRUE,TRUE
"1",35837,-0.02,240,"1","0.5","0.25","9",TRUE,TRUE
"1",29784,0.04,200,"0.5","1","0.5","18",TRUE,TRUE
"1",19086,0.05,204,"0.5","1","0.5","12",TRUE,TRUE
"1",55318,0.01,110,"1","0.5","0.5","12",TRUE,FALSE
"1",27098,-0.02,240,"1","0.5","0.25","15",TRUE,FALSE
"1",49831,0.04,36,"0.75","0.75","0.75","9",TRUE,TRUE
"1",31263,0.08,180,"1","0.5","0.75","12",TRUE,FALSE
"1",32678,-0.07,240,"1","0.5","0.25","6",TRUE,FALSE
"1",30832,0.05,132,"0.5","1","0.5","15",TRUE,FALSE
"1",20126,0,236,"0.75","0.75","0.75","12",TRUE,FALSE
"1",35642,0.05,143,"0.5","1","0.75","15",TRUE,FALSE
"1",20776,-0.12,240,"0.5","1","1","15",TRUE,FALSE
"1",23910,0.05,72,"1","0.5","0.25","9",FALSE,FALSE
"1",33692,0.04,61,"0.5","1","0.5","6",TRUE,TRUE
"1",20455,0.04,60,"1","0.5","0.5","12",FALSE,TRUE
"2",22165,0.05,84,"0.5","1","0.75","18",FALSE,FALSE
"2",26340,0.07,72,"1","0.5","1","3",TRUE,TRUE
"2",20285,0.05,36,"0.5","1","0.75","15",TRUE,FALSE
"2",28695,0.05,72,"0.5","1","0.75","12",FALSE,TRUE
"2",33887,0.04,36,"0.75","0.75","0.5","3",FALSE,TRUE
"2",33854,0.05,108,"0.5","1","0.5","3",FALSE,FALSE
"2",47718,0.07,96,"1","0.5","0.5","9",TRUE,FALSE
"2",39731,0.05,36,"0.5","1","0.75","12",FALSE,FALSE
"2",23912,0.08,72,"1","0.5","1","18",TRUE,FALSE
"2",38787,0.06,156,"0.75","0.75","0.25","9",TRUE,FALSE
"2",28790,0.05,60,"0.5","1","1","12",FALSE,FALSE
"2",46879,0.05,120,"0.75","0.75","0.5","6",FALSE,FALSE
"2",53395,0.06,108,"0.5","1","0.5","6",TRUE,FALSE
"2",46750,0.06,84,"0.5","1","0.5","18",TRUE,FALSE
"2",35688,0.06,67,"0.75","0.75","0.75","3",TRUE,TRUE
"2",21406,0.04,60,"0.5","1","0.25","12",FALSE,TRUE
"2",47874,0.04,48,"0.5","1","0.5","15",FALSE,TRUE
"2",42901,0.05,84,"0.75","0.75","0.25","18",TRUE,TRUE
"2",39218,0.06,132,"0.75","0.75","0.5","6",TRUE,FALSE
"2",49187,0.05,24,"1","0.5","1","18",FALSE,TRUE
"2",25891,0.06,68,"0.75","0.75","1","6",TRUE,TRUE
"2",49196,0.05,108,"0.5","1","0.25","3",TRUE,FALSE
"2",17216,0.04,36,"0.75","0.75","0.75","3",FALSE,TRUE
"2",32757,0.05,72,"0.75","0.75","0.25","15",FALSE,FALSE
"2",26066,0.06,84,"0.5","1","1","3",TRUE,FALSE
"2",37360,0.05,96,"0.75","0.75","0.25","15",TRUE,TRUE
"2",50500,0.05,120,"0.75","0.75","0.75","3",FALSE,TRUE
"2",51665,0.05,24,"0.75","0.75","0.75","15",FALSE,FALSE
"2",40783,0.05,24,"1","0.5","0.75","12",FALSE,FALSE
"2",47973,0.05,60,"0.5","1","0.5","12",FALSE,FALSE
"2",18578,0.05,36,"0.5","1","0.5","6",TRUE,TRUE
"2",32836,0.06,60,"0.75","0.75","0.5","15",FALSE,FALSE
"2",41388,0.08,168,"1","0.5","0.75","15",TRUE,FALSE
"2",19671,0.05,36,"0.75","0.75","0.25","9",TRUE,TRUE
"2",19371,0.04,41,"0.75","0.75","0.5","18",FALSE,TRUE
"2",32176,0.05,36,"0.5","1","1","12",FALSE,FALSE
"2",35011,0.05,132,"0.75","0.75","0.25","3",FALSE,TRUE
"2",30368,0.04,60,"0.5","1","0.5","12",FALSE,TRUE
"2",29116,0.04,36,"0.75","0.75","0.25","3",FALSE,TRUE
"2",14255,0.06,72,"1","0.5","1","6",TRUE,FALSE
"2",57429,0.05,72,"1","0.5","0.25","6",FALSE,FALSE
"2",29770,0.04,36,"0.5","1","0.75","18",FALSE,TRUE
"2",22773,0.06,192,"1","0.5","0.25","3",TRUE,FALSE
"2",30574,0.04,72,"0.75","0.75","0.25","18",FALSE,TRUE
"2",49367,0.04,72,"0.5","1","0.75","12",FALSE,TRUE
"2",34776,0.05,108,"1","0.5","0.25","18",TRUE,TRUE
"2",21468,0.06,60,"1","0.5","0.5","18",TRUE,TRUE
"2",24983,0.06,60,"0.75","0.75","1","9",TRUE,FALSE
"2",15465,0.06,148,"0.5","1","0.75","18",TRUE,FALSE
"2",35789,0.06,156,"0.5","1","1","18",TRUE,FALSE
"2",22834,0.07,156,"0.75","0.75","1","6",TRUE,FALSE
"2",45772,0.04,144,"0.5","1","0.25","15",FALSE,TRUE
"2",26007,0.05,144,"0.75","0.75","0.75","3",FALSE,FALSE
"2",26244,0.07,96,"1","0.5","0.75","6",TRUE,FALSE
"2",31396,0.06,192,"0.5","1","0.25","9",TRUE,FALSE
"2",31259,0.06,132,"1","0.5","0.25","9",TRUE,FALSE
"2",39306,0.05,48,"0.5","1","0.75","15",FALSE,FALSE
"2",43939,0.07,132,"0.75","0.75","1","12",TRUE,FALSE
"2",52873,0.06,36,"1","0.5","0.5","15",TRUE,TRUE
"2",55965,0.05,48,"0.75","0.75","0.5","9",TRUE,FALSE
"2",21108,0.05,96,"0.5","1","0.75","9",FALSE,FALSE
"2",54110,0.05,120,"0.5","1","0.5","12",TRUE,TRUE
"2",39468,0.06,84,"0.75","0.75","0.5","18",FALSE,FALSE
"2",53328,0.04,43,"1","0.5","1","3",FALSE,TRUE
"2",51652,0.06,36,"0.75","0.75","0.5","15",TRUE,TRUE
"2",14617,0.05,12,"0.5","1","1","15",TRUE,TRUE
"2",29029,0.06,72,"1","0.5","0.5","3",TRUE,TRUE
"2",24993,0.04,72,"0.5","1","0.25","12",FALSE,TRUE
"2",12961,0.05,156,"0.5","1","0.25","15",TRUE,FALSE
"2",36018,0.05,48,"0.75","0.75","0.5","15",TRUE,FALSE
"2",17626,0.06,147,"1","0.5","0.5","15",TRUE,FALSE
"2",39810,0.08,168,"1","0.5","1","15",TRUE,FALSE
"2",25166,0.04,36,"0.75","0.75","0.5","3",FALSE,TRUE
"2",42181,0.07,84,"0.75","0.75","1","3",TRUE,FALSE
"2",15291,0.07,120,"1","0.5","1","18",FALSE,FALSE
"2",16678,0.06,84,"0.75","0.75","0.5","9",TRUE,FALSE
"2",27232,0.05,84,"0.5","1","0.25","12",TRUE,TRUE
"2",43331,0.05,156,"0.75","0.75","0.25","9",FALSE,FALSE
